Fecha,Resultado,Confianza (%),Archivo Guardado,Imagen Original
17/08/2026 11:02:12,NO APTO,Manchada,70.56,stream_6_20260817_110211_930178.jpg,Streaming simulado
17/08/2026 11:02:12,NO APTO,Rota,48.88,stream_7_20260817_110212_281922.jpg,Streaming simulado
17/08/2026 11:02:12,NO APTO,Rota,52.94,stream_8_20260817_110212_616498.jpg,Streaming simulado
17/08/2026 11:02:13,NO APTO,Sin_backplate,80.79,stream_9_20260817_110212_944566.jpg,Streaming simulado
17/08/2026 11:02:13,NO APTO,Sin_backplate,80.91,stream_10_20260817_110213_268038.jpg,Streaming simulado
17/08/2026 11:17:13,APTO,,100.00,stream_1_20260817_111713_420788.jpg,Streaming simulado
17/08/2026 11:17:14,APTO,,100.00,stream_2_20260817_111713_785173.jpg,Streaming simulado
17/08/2026 11:17:14,APTO,,100.00,stream_3_20260817_111714_108250.jpg,Streaming simulado
17/08/2026 11:17:14,APTO,,100.00,stream_4_20260817_111714_430815.jpg,Streaming simulado
17/08/2026 11:17:15,APTO,,100.00,stream_5_20260817_111714_743415.jpg,Streaming simulado
17/08/2026 11:17:15,NO APTO,Manchada,70.56,stream_6_20260817_111715_063990.jpg,Streaming simulado
17/08/2026 11:17:15,NO APTO,Rota,48.88,stream_7_20260817_111715_407540.jpg,Streaming simulado
17/08/2026 11:17:16,NO APTO,Rota,52.94,stream_8_20260817_111715_732188.jpg,Streaming simulado
17/08/2026 11:17:16,NO APTO,Sin_backplate,80.79,stream_9_20260817_111716_071266.jpg,Streaming simulado
17/08/2026 11:17:16,NO APTO,Sin_backplate,80.91,stream_10_20260817_111716_399316.jpg,Streaming simulado
17/08/2026 12:30:03,APTO,,100.00,stream_1_20260817_123002_770304.jpg,Streaming simulado
17/08/2026 12:30:03,APTO,,100.00,stream_2_20260817_123003_270531.jpg,Streaming simulado
17/08/2026 12:30:04,APTO,,100.00,stream_3_20260817_123003_679751.jpg,Streaming simulado
17/08/2026 12:30:04,APTO,,100.00,stream_4_20260817_123004_085708.jpg,Streaming simulado
17/08/2026 12:30:04,APTO,,100.00,stream_5_20260817_123004_474677.jpg,Streaming simulado
17/08/2026 12:30:05,NO APTO,Manchada,70.56,stream_6_20260817_123004_848847.jpg,Streaming simulado
17/08/2026 12:30:05,NO APTO,Rota,48.88,stream_7_20260817_123005_235496.jpg,Streaming simulado
17/08/2026 12:30:06,NO APTO,Rota,52.94,stream_8_20260817_123005_611690.jpg,Streaming simulado
17/08/2026 12:30:06,NO APTO,Sin_backplate,80.79,stream_9_20260817_123006_018040.jpg,Streaming simulado
17/08/2026 12:30:06,NO APTO,Sin_backplate,80.91,stream_10_20260817_123006_411117.jpg,Streaming simulado
18/08/2026 09:27:54,APTO,,100.00,stream_1_20260818_092752_213450.jpg,Streaming simulado
18/08/2026 09:27:55,APTO,,100.00,stream_2_20260818_092754_980263.jpg,Streaming simulado
18/08/2026 09:27:55,APTO,,100.00,stream_3_20260818_092755_359644.jpg,Streaming simulado
18/08/2026 09:27:56,APTO,,100.00,stream_4_20260818_092755_773744.jpg,Streaming simulado
18/08/2026 09:27:56,APTO,,100.00,stream_5_20260818_092756_128779.jpg,Streaming simulado
18/08/2026 09:27:56,NO APTO,Manchada,70.56,stream_6_20260818_092756_486406.jpg,Streaming simulado
18/08/2026 09:27:57,NO APTO,Rota,48.88,stream_7_20260818_092756_896950.jpg,Streaming simulado
18/08/2026 09:27:57,NO APTO,Rota,52.94,stream_8_20260818_092757_272276.jpg,Streaming simulado
18/08/2026 09:27:58,NO APTO,Sin_backplate,80.79,stream_9_20260818_092757_641303.jpg,Streaming simulado
18/08/2026 09:27:58,NO APTO,Sin_backplate,80.91,stream_10_20260818_092758_009640.jpg,Streaming simulado
